0,0,0,0
10,0,0.01,0
20,0.23,0.2,0
30,0.37,0.38,0
40,0.9,0.55,0
50,1.16,0.86,0
60,1.36,1.08,0.03
70,2.99,1.51,0.1
80,3.57,1.73,0.11
90,4.27,2.06,0.2
100,5.19,2.61,0.21
110,5.62,3.01,0.31
120,5.9,3.86,0.39
130,9.11,4.16,0.45
140,13.02,4.79,0.57
150,16.35,5.99,0.69
160,15.48,5.7,0.69
170,17.21,6.1,0.77
180,17.15,6.34,0.84
190,19.05,7.82,1.04
200,20.21,8.16,1.1
210,22.22,9.02,1.23
220,22.51,10.02,1.44
230,24.1,10.56,1.52
240,22.75,10.91,1.65
250,23.5,11.45,1.72
260,34.95,12.25,1.89
270,42.84,12.82,2
280,47.89,13.51,2.13
290,55.8,14.95,2.44
300,55.22,14.81,2.48
310,57.72,15.41,2.64
320,57.97,16.15,2.73
330,64.24,16.81,2.98
340,66.38,17.97,3.34
350,67.2,18.4,3.31
360,69.79,19.75,3.5
370,69.65,20.84,3.79
380,73.63,22.38,4.11
390,78.33,22.73,4.34
400,78.38,23.4,4.44
410,80.34,24.18,4.54
420,81.64,24.77,4.77
430,82.44,25.95,5.01
440,82.88,26.93,5.27
450,83.71,28.02,5.44
460,84.94,29.1,5.64
470,91.99,32.31,6.32
480,94.16,34,6.53
490,93.22,33.88,6.82
500,94.39,35.17,7.26
